n_games,playerScoreProRound,playerTotalScore,PlayedTimeBeforeDeath,TotalPlayedTimeBeforeDeath,MeanScore,DeviationFromScore,TimeOverScore,TotalNumberofDeath,TimeOverDeath,Epsilon
1,0,0,5.908125162124634,5.908125162124634,0.0,,5.908125162124634,1,5.908125162124634,80
2,1,1,1.790283203125,7.698408365249634,0.5,0.0,7.698408365249634,2,3.849204182624817,79
3,1,2,2.3570897579193115,10.055498123168945,0.6666666666666666,0.25,5.027749061584473,3,3.351832707722982,78
4,0,2,1.8781960010528564,11.933694124221802,0.5,0.6666666666666666,5.966847062110901,4,2.9834235310554504,77
5,0,2,1.8263452053070068,13.760039329528809,0.4,0.6875,6.880019664764404,5,2.7520078659057616,76
6,0,2,1.0666453838348389,14.826684713363647,0.3333333333333333,0.64,7.413342356681824,6,2.4711141188939414,75
7,0,2,1.4519922733306885,16.278676986694336,0.2857142857142857,0.5833333333333334,8.139338493347168,7,2.3255252838134766,74
8,0,2,1.770900011062622,18.049576997756958,0.25,0.5306122448979591,9.024788498878479,8,2.2561971247196198,73
9,0,2,0.9173331260681152,18.966910123825073,0.2222222222222222,0.484375,9.483455061912537,9,2.107434458202786,72
10,1,3,2.220766067504883,21.187676191329956,0.3,0.4444444444444444,7.062558730443318,10,2.1187676191329956,71
11,0,3,1.4439058303833008,22.631582021713257,0.2727272727272727,0.5599999999999999,7.543860673904419,11,2.057416547428478,70
12,0,3,0.9836001396179199,23.615182161331177,0.25,0.628099173553719,7.8717273871103925,12,1.9679318467775981,69
13,0,3,1.4450232982635498,25.060205459594727,0.23076923076923078,0.6666666666666666,8.353401819864908,13,1.9277081122765174,68
14,0,3,3.3009092807769775,28.361114740371704,0.21428571428571427,0.6863905325443788,9.453704913457235,14,2.0257939100265503,67
15,0,3,1.7603020668029785,30.121416807174683,0.2,0.6938775510204082,10.040472269058228,15,2.0080944538116454,66
16,0,3,2.8410887718200684,32.96250557899475,0.1875,0.6933333333333335,10.987501859664917,16,2.060156598687172,65
17,0,3,1.558807134628296,34.52131271362305,0.17647058823529413,0.6875,11.50710423787435,17,2.0306654537425324,64
18,0,3,3.5024607181549072,38.023773431777954,0.16666666666666666,0.6782006920415226,12.674591143925985,18,2.1124318573209973,63
19,0,3,0.3829834461212158,38.40675687789917,0.15789473684210525,0.6666666666666667,12.802252292633057,19,2.0214082567315352,62
20,0,3,0.8732094764709473,39.27996635437012,0.15,0.6537396121883656,13.093322118123373,20,1.9639983177185059,61
21,0,3,0.30942606925964355,39.58939242362976,0.14285714285714285,0.6399999999999999,13.19646414120992,21,1.8852091630299885,60
22,0,3,1.9964566230773926,41.58584904670715,0.13636363636363635,0.6258503401360545,13.861949682235718,22,1.890265865759416,59
23,0,3,1.700934886932373,43.286783933639526,0.13043478260869565,0.6115702479338843,14.428927977879843,23,1.8820340840712837,58
24,1,4,0.31029796600341797,43.597081899642944,0.16666666666666666,0.5973534971644614,10.899270474910736,24,1.8165450791517894,57
25,0,4,1.0165269374847412,44.613608837127686,0.16,0.6649305555555556,11.153402209281921,25,1.7845443534851073,56
26,0,4,2.151618242263794,46.76522707939148,0.15384615384615385,0.72,11.69130676984787,26,1.7986625799765954,55
27,0,4,0.8085579872131348,47.573785066604614,0.14814814814814814,0.764792899408284,11.893446266651154,27,1.7619920395038746,54
28,1,5,1.3824207782745361,48.95620584487915,0.17857142857142858,0.8010973936899861,9.79124116897583,28,1.7484359230313982,53
29,0,5,1.1440341472625732,50.100239992141724,0.1724137931034483,0.9540816326530611,10.020047998428344,29,1.7275944824876457,52
30,0,5,0.6223645210266113,50.722604513168335,0.16666666666666666,1.0844233055885848,10.144520902633667,30,1.6907534837722777,51
31,0,5,1.0728247165679932,51.79542922973633,0.16129032258064516,1.1955555555555553,10.359085845947266,31,1.6708202977334299,50
32,1,6,1.579395055770874,53.3748242855072,0.1875,1.2903225806451613,8.895804047584534,32,1.6679632589221,49
33,1,7,4.865782976150513,58.240607261657715,0.21212121212121213,1.5224609375,8.320086751665388,33,1.7648668867169004,48
34,0,7,0.2921123504638672,58.53271961212158,0.20588235294117646,1.9247015610651974,8.36181708744594,34,1.7215505768271053,47
35,0,7,1.4098467826843262,59.94256639480591,0.2,2.277681660899654,8.563223770686559,35,1.7126447541373118,46
36,0,7,2.1696174144744873,62.112183809280396,0.19444444444444445,2.5877551020408163,8.873169115611486,36,1.7253384391466777,45
37,0,7,1.178199052810669,63.290382862091064,0.1891891891891892,2.860339506172839,9.041483266013008,37,1.7105508881646234,44
38,2,9,3.630232095718384,66.92061495780945,0.23684210526315788,3.1000730460189923,7.43562388420105,38,1.761068814679196,43
39,0,9,0.4619863033294678,67.38260126113892,0.23076923076923078,3.7596952908587262,7.486955695682102,39,1.7277590066958697,42
40,0,9,2.381403923034668,69.76400518417358,0.225,4.348454963839578,7.7515561315748425,40,1.7441001296043397,41
41,0,9,1.5461161136627197,71.3101212978363,0.21951219512195122,4.874375,7.923346810870701,41,1.7392712511667392,40
42,0,9,0.5846209526062012,71.8947422504425,0.21428571428571427,5.344437834622249,7.988304694493611,42,1.7117795773914881,39
43,1,10,1.6691241264343262,73.56386637687683,0.23255813953488372,5.764739229024944,7.356386637687683,43,1.7107875901599263,38
44,1,11,3.138745069503784,76.70261144638062,0.25,6.378583017847485,6.972964676943692,44,1.743241169235923,37
45,1,12,4.206474542617798,80.90908598899841,0.26666666666666666,7.202479338842974,6.742423832416534,45,1.7979796886444093,36
46,0,12,0.6414549350738525,81.55054092407227,0.2608695652173913,8.249876543209876,6.7958784103393555,46,1.7728378461754841,35
47,0,12,2.533841848373413,84.08438277244568,0.2553191489361702,9.200378071833649,7.007031897703807,47,1.7890294206903337,34
48,1,13,1.3039190769195557,85.38830184936523,0.2708333333333333,10.063377093707564,6.5683309114896336,48,1.7789229551951091,33
49,0,13,0.7294142246246338,86.11771607398987,0.2653061224489796,11.15234375,6.624439697999221,49,1.7575044096732626,32
50,0,13,2.364426851272583,88.48214292526245,0.26,12.14493960849646,6.80631868655865,50,1.769642858505249,31
51,1,14,4.2787322998046875,92.76087522506714,0.27450980392156865,13.05,6.62577680179051,51,1.818840690687591,30
52,1,15,3.559436321258545,96.32031154632568,0.28846153846153844,14.183006535947714,6.421354103088379,52,1.8523136835831862,29
53,0,15,0.5782105922698975,96.89852213859558,0.2830188679245283,15.553254437869821,6.459901475906372,53,1.828274002615011,28
54,1,16,1.866039514541626,98.7645616531372,0.2962962962962963,16.810964756140976,6.172785103321075,54,1.8289733639469854,27
55,4,20,5.9286558628082275,104.69321751594543,0.36363636363636365,18.310356652949242,5.234660875797272,55,1.9035130457444625,26
56,1,21,0.9076895713806152,105.60090708732605,0.375,21.375206611570245,5.0286146232060025,56,1.8857304837022508,25
57,0,21,0.2504589557647705,105.85136604309082,0.3684210526315789,24.70408163265306,5.040541240147182,57,1.8570415095279091,24
58,0,21,8.132625102996826,113.98399114608765,0.3620689655172414,27.788242536164976,5.42780910219465,58,1.9652412266566837,23
59,0,21,3.608504295349121,117.59249544143677,0.3559322033898305,30.646848989298455,5.599642640068417,59,1.9930931430751995,22
60,1,22,1.1396734714508057,118.73216891288757,0.36666666666666664,33.29732835392128,5.396916768767617,60,1.9788694818814596,21
61,2,24,10.219314813613892,128.95148372650146,0.39344262295081966,36.21638888888889,5.372978488604228,61,2.113958749614778,20
62,0,24,0.6240942478179932,129.57557797431946,0.3870967741935484,39.91561408223596,5.398982415596644,62,2.0899286770051524,19
63,0,24,1.544250726699829,131.1198287010193,0.38095238095238093,43.359261186264305,5.463326195875804,63,2.0812671222384016,18
64,1,25,0.9099633693695068,132.0297920703888,0.390625,46.565885613504655,5.281191682815551,64,2.062965501099825,17
65,1,26,4.687899589538574,136.71769165992737,0.4,50.0458984375,5.2583727561510525,65,2.103349102460421,16
66,1,27,1.101269006729126,137.8189606666565,0.4090909090909091,53.79976331360946,5.104405950616907,66,2.0881660707069165,15
67,0,27,0.24742817878723145,138.06638884544373,0.40298507462686567,57.82759412304868,5.113569957238656,67,2.0606923708275184,14
68,0,27,4.114287376403809,142.18067622184753,0.39705882352941174,61.59278235687236,5.265950971179539,68,2.090892297380111,13
69,2,29,5.815835237503052,147.9965114593506,0.42028985507246375,65.11310553633217,5.103327981356917,69,2.1448769776717476,12
70,1,30,1.8522071838378906,149.84871864318848,0.42857142857142855,69.44591472379753,4.994957288106282,70,2.1406959806169783,11
71,3,33,2.7989869117736816,152.64770555496216,0.4647887323943662,74.05387755102039,4.625688047120065,71,2.1499676838727066,10
72,0,33,1.4211361408233643,154.06884169578552,0.4583333333333333,80.13925808371354,4.668752778660167,72,2.1398450235525766,9
73,3,36,4.735011339187622,158.80385303497314,0.4931506849315068,85.86033950617282,4.411218139860365,73,2.1753952470544267,8
74,1,37,0.4962918758392334,159.30014491081238,0.5,93.14730718708951,4.305409321913848,74,2.152704660956924,7
75,4,41,6.66879415512085,165.96893906593323,0.5466666666666666,100.68316289262235,4.048022904047152,75,2.2129191875457765,6
76,18,59,22.61915874481201,188.58809781074524,0.7763157894736842,110.66382222222222,3.196408437470258,76,2.4814223396150688,5
77,2,61,6.942949056625366,195.5310468673706,0.7922077922077922,137.82600415512465,3.2054269978257475,77,2.539364245030787,4
78,3,64,9.807780504226685,205.3388273715973,0.8205128205128205,165.9757125990892,3.2084191776812077,78,2.632549068866632,3
79,1,65,1.7939329147338867,207.13276028633118,0.8227848101265823,196.3819855358317,3.1866578505589414,79,2.621933674510521,2
80,2,67,3.4536054134368896,210.58636569976807,0.8375,226.46883512257654,3.143080085071165,80,2.6323295712471007,1
