n_games,playerScoreProRound,playerTotalScore,PlayedTimeBeforeDeath,TotalPlayedTimeBeforeDeath,MeanScore,DeviationFromScore,TimeOverScore,TotalNumberofDeath,TimeOverDeath,Epsilon
23,0,6,0.8001968860626221,37.74525213241577,0.2608695652173913,3.398760330578513,6.290875355402629,23,1.6410979188006858,58
24,1,7,0.951810359954834,38.697062492370605,0.2916666666666667,3.550094517958413,5.528151784624372,24,1.6123776038487752,57
25,0,7,0.948535680770874,39.64559817314148,0.28,3.9097222222222228,5.663656881877354,25,1.585823926925659,56
26,0,7,1.3161547183990479,40.96175289154053,0.2692307692307692,4.2016,5.8516789845057895,26,1.5754520342900202,55
27,0,7,1.5902812480926514,42.55203413963318,0.25925925925925924,4.437869822485207,6.078862019947597,27,1.5760012644308585,54
28,0,7,0.4375171661376953,42.989551305770874,0.25,4.628257887517147,6.141364472252982,28,1.5353411180632455,53
29,0,7,0.19065380096435547,43.18020510673523,0.2413793103448276,4.780612244897958,6.168600729533604,29,1.4889725898874218,52
30,1,8,0.39734554290771484,43.577550649642944,0.26666666666666666,4.901307966706302,5.447193831205368,30,1.4525850216547649,51
31,0,8,0.3970913887023926,43.97464203834534,0.25806451612903225,5.209999999999999,5.496830254793167,31,1.4185368399466238,50
32,0,8,0.355649471282959,44.330291509628296,0.25,5.469302809573361,5.541286438703537,32,1.3853216096758842,49
33,2,10,1.3236968517303467,45.65398836135864,0.30303030303030304,5.6865234375,4.565398836135865,33,1.3834541927684436,48
34,0,10,0.4548671245574951,46.10885548591614,0.29411764705882354,6.393021120293847,4.610885548591614,34,1.3561428084092981,47
35,0,10,1.4563002586364746,47.56515574455261,0.2857142857142857,7.007785467128027,4.756515574455261,35,1.3590044498443603,46
36,1,11,2.4333560466766357,49.99851179122925,0.3055555555555556,7.542857142857143,4.545319253748113,36,1.388847549756368,45
37,1,12,3.3393259048461914,53.33783769607544,0.32432432432432434,8.305555555555555,4.444819808006287,37,1.4415631809750118,44
38,3,15,5.717565059661865,59.055402755737305,0.39473684210526316,9.30898466033601,3.937026850382487,38,1.5540895462036133,43
39,0,15,0.7854981422424316,59.840900897979736,0.38461538461538464,11.449445983379505,3.989393393198649,39,1.5343820743071728,42
40,0,15,0.25714612007141113,60.09804701805115,0.375,13.360946745562131,4.006536467870077,40,1.5024511754512786,41
41,0,15,1.4101989269256592,61.50824594497681,0.36585365853658536,15.069375000000003,4.10054972966512,41,1.5002011206091903,40
42,1,16,1.4116921424865723,62.91993808746338,0.38095238095238093,16.597263533610946,3.932496130466461,42,1.4980937639872234,39
43,1,17,1.6890277862548828,64.60896587371826,0.3953488372093023,18.39229024943311,3.800527404336368,43,1.5025340900864712,38
44,2,19,1.8934342861175537,66.50240015983582,0.4318181818181818,20.457544618712816,3.500126324201885,44,1.511418185450814,37
45,1,20,3.269392251968384,69.7717924118042,0.4444444444444444,23.31611570247934,3.48858962059021,45,1.5504842758178712,36
46,1,21,1.8950681686401367,71.66686058044434,0.45652173913043476,26.44444444444445,3.4127076466878257,46,1.5579752300096594,35
47,1,22,1.380756139755249,73.04761672019958,0.46808510638297873,29.84168241965974,3.3203462145545264,47,1.5542046110680763,34
48,1,23,1.2136955261230469,74.26131224632263,0.4791666666666667,33.506564056133996,3.2287527063618535,48,1.5471106717983882,33
49,1,24,3.0736517906188965,77.33496403694153,0.4897959183673469,37.4375,3.222290168205897,49,1.5782645721824802,32
50,0,24,2.066708564758301,79.40167260169983,0.48,41.63265306122449,3.308403025070826,50,1.5880334520339965,31
